commentView,commentScore,commentTitle,commentName
其实本来的我，只是来看张艺兴的，但后来觉得还是挺好的，我不是不希望别人评论而是我觉得虽然每个人都有每个人的想法与理解但我真的觉得有想法可以保留你说出来即使会让他演得更好，但每个人的心里承受能力都不同...所以....每一个人都很有特点，二爷喜爱唱戏虽然声音是配音但能想象出他的样子，他很疼爱丫头。（即使丫头只会下面条但爱并不减）陈皮心眼蛮多的，不过长得还不错，对师娘的心思都能看出来。张启山冷峻的外表话语偶尔有些小幽默！八爷很胆小但是也很负责任！张副官更不用说了！,10,写个吸引人的标题吧,BDD1E8D65711769E
"除了佛爷、副官、陈皮、二爷、八爷，没一个喜欢的...........................................................................................................................................................................................................................................................................
",8,..........,冇灰机冇灰机
................................................................................................................................................................................................................................................................................chaohaokan,10,.....,哲总m1115
演技：新人肯定比老戏骨不如，颜值可以弥补（表演稍显夸张，代入感不强）。内容：故事情节还可以，但没拍出恐怖效果，比如张启山中招，至少要拍二爷切开皮肤往外扯毛发的视觉效果。而不是只拍每个人的表情就完了。服装：八爷少顶瓜皮帽，多了条围巾；进墓装备竟然是箱子，可也换成插在各种小兜的皮质卷包里吗？看到7集了,6,简单说两句吧,138****3999_m1319
这次肥常开心，【乔··嘟..院~~~y&apos;ou，佺%集.....。见到。。。。艺兴的演技进步最大了。看他句很久了，他很是个努力的孩子，他努力付出的。他做的，一直是我们的榜样，总之加油。兴迷未来一直都在。再说说老九门，我没有看过原著，但是感觉一开始进入主题太慢了了，演员我都喜欢，这种题材的剧比较少。但是都还不错，盗墓还有老久门都认真看了，三叔喜欢小鲜肉。峰峰，杨洋，艺兴，伟霆，鹿晗。小井。全部都喜欢。冲着点收视不用愁了。看好三叔，看好这种题材的未来，更看好这些努力的奋斗的青年。加油老子会一直关注并支持。,10,写个比美女更吸引的标题，哈哈,请你吗你脑子
1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,10,恩恩,蕤hhhh
剧情不是一般的拖沓.劳资看的睡着  醒了继续看   还没什么进展  现在片子拍成这样真心稀烂      真心差韩剧好远看第一集就没有想再往下看的感觉何看第一集就没有想再往下看的感觉呢，不知是视频画片太差还是选的人物不喜欢，看不下去。何看第一集就没有想再往下看的感觉呢，不知是视频画片太差还是选的人物不喜欢，看不下去。,2,看过小说在看这真心想吐,159****9710_m1600
如题...................................................................................................................................................................................................................................................................................................,2,垃圾,爱打网球の公羊兴贤
看老九是奔着陈伟霆来的，从出轨的女人开始就爱上了。偶像果然没让我失望，再次帅出新高度，剧情非常喜欢，活了将近二十年从来没有这么痴迷追过一部剧，喜欢剧中佛爷的霸气二叶红的痴情，齐铁嘴解九爷陈皮包括大反派陆建勋裘得考日本妹子各位角色演的都很好，喜欢老九门的所有角色，很喜欢这部剧。感谢编剧及导演和演员们给我们一部这么好看的电视剧！希望爱奇艺可以更新的快一点！谢谢,10,大爱老九门,萍萍就是你麻麻
拍的挺好的，就是更新有点慢，剧情有点拖，谢谢大家！喜欢陈皮，呵呵，喜欢佛爷，哈哈，喜欢二爷，哎哟喂，喜欢新月耶耶………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,8,还可以哟,爱喝汽水de梁丘绮丽
